policy_id,title,effective_from,applies_to,policy_text,citation_ref,source_type
POL_FORECAST_GRAIN,Grain dự báo nhu cầu,2024-01-01,forecast_agent,Dự báo nhu cầu ở grain ngày × hub; không công bố forecast theo giờ vì mật độ sự kiện thấp. Đánh giá trên nhiều seed và time split.,config/base.yaml#order_generation,assumption
POL_COLD_CHAIN,Ràng buộc cold chain,2024-01-01,COM_PANGASIUS|COM_SHRIMP,Đơn hàng needs_reefer=true chỉ được ghép với phương tiện has_reefer=true; không được bỏ ràng buộc để giảm chi phí.,SCHEMA.md#commodities,assumption
POL_WATER_COMPAT,Tương thích đường thủy,2024-01-01,route_optimizer,Chỉ commodity water_ok=true mới được xét tuyến thủy; quyết định vẫn phải kiểm tra deadline và trạng thái luồng.,SCHEMA.md#commodities,assumption
POL_NAVIGATION_CLOSURE,Đóng luồng do mực nước cực đoan,2024-01-01,water_route,Nếu weather_bulletins.water_navigation_status=closed thì tuyến thủy bị loại khỏi tập khả thi; không thay bằng một penalty hữu hạn.,config/base.yaml#grounding_generation,assumption
POL_ROAD_CLOSURE,Đóng đường do ngập,2024-01-01,road_route,Nếu weather_bulletins.road_status=closed thì chặng đường bộ liên quan bị loại khỏi tập khả thi cho kỳ hiệu lực của bản tin.,config/base.yaml#grounding_generation,assumption
POL_FUEL_PASS_THROUGH,Fuel pass-through vào cước biến đổi,2024-01-01,freight_rates,"fuel_cost_factor = max(minimum_factor, 1 + beta_mode × (fuel_price/base_fuel_price - 1)); factor chỉ nhân variable rate, không nhân fixed fee.",config/base.yaml#freight_generation,assumption
POL_BARGE_HUB,Barge lớn chỉ đóng tại Cần Thơ,2024-01-01,barge_200t|barge_500t,Barge 200–500 tấn được bố trí tại CT_HUB để nhận hàng đã gom; spoke hub dùng boat_50t cho gom tuyến đầu.,config/base.yaml#fleet_generation,assumption
POL_CONSOLIDATION,Phân bổ fixed fee khi gom tải,2024-01-01,dispatch_agent,Route qua Cần Thơ chỉ được đánh giá sau khi fixed fee được phân bổ theo lô gom; không kết luận tuyến B vô ích từ tối ưu per-order.,config/baseline_policy.yaml,assumption
POL_NO_LEAKAGE,Tách input và golden evaluation,2024-01-01,all_agents,Canonical input không chứa recommended_route hoặc reference cost. Nhãn chuẩn chỉ nằm trong eval/ và không được dùng làm feature.,eval/README.md,assumption
POL_PROVENANCE,Trích dẫn và provenance,2024-01-01,all_agents,"Mọi giải thích phải nêu bulletin, ops note, policy_id hoặc structured row đã dùng; simulated và assumption không được trình bày như observed fact.",ANCHORS.md,assumption
